Name	Set	ImageFile	Element	Type	Archetype 1	Archetype 2	Cost	Attack	Defense	Effect
Necklace of Harmonia	BASE_SET	NecklaceofHarmonia.png	Omni	Artifact Rune	N/A	N/A	{Omni}{Omni}			The Empowered Elestral gets +5 {Attack}. During their End Phase the controller of the Empowered Elestral must Expend {Omni}{Omni}. If they cannot, this Necklace of Harmonia is destroyed.
Nectar of the Gods	BASE_SET	NectaroftheGods.png	Omni	Invoke Rune	N/A	N/A	{Omni}{Omni}			Draw 2 cards.
Pandora's Box	BASE_SET	PandorasBox.png	Omni	Counter Rune	N/A	N/A	{Omni}{Omni}			This Pandora's Box can only be Cast when an opponent activates an effect that Searches for or Casts a card from their deck. Negate that effect and that opponent must sent the top 2 cards from their deck to their Underworld.
Poison Tipped Arrow	DAYBREAK	PoisonTippedArrow.png	Omni	Counter Rune	N/A	N/A	{Omni}			This Poison Tipped Arrow can only be Cast when an opponent Casts an Elestral. Target it and give it -2 {Attack} until the End Phase. During this End Phase you can Expend {Omni} equal to its Enchantment Cost in order to destroy it.
Poisoned Nectar	FROSTFALL	PoisonedNectar.png	Omni	Counter Rune	N/A	N/A	{Omni}			This Poisoned Nectar can only be Cast when an opponent activates a card effect that draws a card. Negate that effect, then destroy that card.
Poisoned Tunic	DAYBREAK	PoisonedTunic.png	Omni	Artifact Rune	N/A	N/A	{Omni}{Omni}			The Empowered Elestral gets -2 {Attack}. When the Empowered Elestral is destroyed in battle its controller must Expend {Omni}{Omni}.
Poseidon	BASE_SET	Poseidon.png	Water	Divine Rune	N/A	N/A	{Water}			When you Cast this Poseidon you can Enchant up to {Water}{Water}{Water} to it. You can Nexus {Water} from this Poseidon.
Race to the Top	FROSTFALL	RacetotheTop.png	Thunder	Invoke Rune	N/A	N/A	{Thunder}			This Race to the Top can only be Cast if Mt. Olympus is Enchanted. Target 2 Elestrals and destroy the Elestral with the least {Defense}.
Resting on Your Laurels	STRUCTURE_DECK_PENTERROR	RestingonYourLaurels.png	Omni	Invoke Rune	N/A	N/A	{Omni}			This Resting on Your Laurels can only be Cast if an opponent has at least 2 more Enchanting Spirits than you do. Target and destroy that opponent's Elestral with the least number of Enchanting Spirits.
Rise from the Ashes	BASE_SET	RisefromtheAshes.png	Omni	Invoke Rune	N/A	N/A	{Omni}{Omni}{Omni}			Target an Elestral in your Underworld and Special Cast it in Attack Position.
Rise From the Depths	FROSTFALL	RisefromtheDepths.png	Water	Invoke Rune	N/A	N/A	{Water}			This Rise from the Depths can only be cast if Atlantis is Enchanted. Target a 1 Spirit {Water} Elestral in your Underworld and Special Cast it.
Rock and a Hard Place	DAYBREAK	RockandaHardPlace.png	Water/Lunar	Invoke Rune	N/A	N/A	{Water}{Lunar}			This Rock and a Hard Place's Cast cannot be chained by Counter Runes. Target a Rune and an Elestral on an opponent's field. That opponent destroys one of them.
Sandstorm	FROSTFALL	Sandstorm.png	Wind/Earth	Invoke Rune	N/A	N/A	{Wind}{Earth}			For each Elestral that is not {Earth}-Enchanted, return it to its owner's hand if it is in Defense Position. Otherwise, change it to Defense Position. Until the End Phase those Elestrals canno change Position.
Scepter of Khione	FROSTFALL	ScepterofKhione.png	Frost	Artifact Rune	N/A	N/A	{Frost}{Frost}			The Empowered Elestral gets +2 {Attack} and +3 {Defense}. When Khione is Enchanted and the Empowered Elestral destroys an Elestral in battle you can Special Cast a 1 Spirit {Frost} Elestral from your hand.
Scythe of Demeter	BASE_SET	ScytheofDemeter.png	Earth	Artifact Rune	N/A	N/A	{Earth}{Earth}			The Empowered Elestral gets +2 {Attack} and +3 {Defense}. When the Empowered Elestral destroys an Elestral in battle you can return {Earth} from your Underworld to your Spirit Deck. If Demeter is Enchanted you can return {Earth}{Earth} instead.
Shield of Achilles	BASE_SET	ShieldofAchilles.png	Omni	Counter Rune	N/A	N/A	{Omni}			This Shield of Achilles can only be Cast when an opponent's Elestral declares an attack. Expend {Omni} equal to that Elestral's Enchantment Cost in order to negate the attack and return that Elestral to their hand.
Stoke the Forge	FROSTFALL	StoketheForge.png	Fire	Invoke Rune	N/A	N/A	{Fire}			This Stoke the Forge can only be Cast if Volcanic Forge is Enchanted. Search your deck for a 1 Spirit {Fire} Elestral and add it to your hand.
Temple of the Sun	DAYBREAK	TempleoftheSun.png	Solar	Stadium Rune	N/A	N/A	{Solar}			Elestrals get +1 {Attack} and +1 {Defense} for each {Solar} Enchanting them.
Thunderbolt of Zeus	BASE_SET	ThunderboltofZeus.png	Thunder	Artifact Rune	N/A	N/A	{Thunder}{Thunder}			The Empowered Elestral gets +2 {Attack}. When the Empowered Elestral destroys an opponent's Elestral by battle that opponent must Expend {Omni}. If Zeus is Enchanted they must Expend {Omni}{Omni} instead.
Thunderstorm	BASE_SET	Thunderstorm.png	Thunder	Invoke Rune	N/A	N/A	{Thunder}{Thunder}			Target and destroy a Rune.
Tornado	BASE_SET	Tornado.png	Wind	Invoke Rune	N/A	N/A	{Wind}			Target an opponent's Rune and return it to the hand.
Tower of Winds	FROSTFALL	TowerofWinds.png	Wind	Invoke Rune	N/A	N/A	{Wind}			Nexus {Wind} to a {Wind}-Enchanted Elestral. If you do, you can Special Ascend it to an Elestral from your hand.
Trident of Poseidon	BASE_SET	TridentofPoseidon.png	Water	Artifact Rune	N/A	N/A	{Water}{Water}			The Empowered Elestral gets +2 {Attack} and cannot be targeted by Counter Runes. As long as Poseidon is Enchanted opponents cannot Cast Counter Runes.
Tsunami	BASE_SET	Tsunami.png	Water	Counter Rune	N/A	N/A	{Water}			Change all Elestrals to Defense Position unless they are {Water}-Enchanted.
Ursa Den	FROSTFALL	UrsaDen.png	Fire/Frost	Stadium Rune	Ursa	N/A	{Fire}{Frost}			{Ursa} Elestrals get +1 {Attack} and +1 {Defense}. When a player Casts an {Ursa} Elestral you can Enchant {Omni} to this Ursa Den. You can Disenchant {Omni}{Omni}{Omni} from this Ursa Den in order to Special Cast an {Ursa} Elestral from your hand or deck.
Volcanic Forge	BASE_SET	VolcanicForge.png	Fire	Stadium Rune	N/A	N/A	{Fire}			Elestrals get +1 {Attack} and +1 {Defense} for each {Fire} Enchanting them.
Zeus	BASE_SET	Zeus.png	Thunder	Divine Rune	N/A	N/A	{Thunder}			When you Cast this Zeus you can Enchant up to {Thunder}{Thunder}{Thunder} to it. You can Disenchant {Thunder} in order to target an opponent's Elestral and give it -3 {Attack} and -3 {Defense}.
Flurrmine	BASE_SET	Flurrmine.png	Frost	Spirit	Brute	Ethereal
Leviaphin	BASE_SET	Leviaphin.png	Water	Spirit	Oceanic	Ethereal
Luminape	BASE_SET	Luminape.png	Solar	Spirit	Brute	Ethereal
Lycarus	BASE_SET	Lycarus.png	Wind	Spirit	Brute	Ethereal
Owlune	BASE_SET	Owlune.png	Lunar	Spirit	Avian	Ethereal
Teratlas	BASE_SET	Teratlas.png	Earth	Spirit	Insectoid	Golem
Vipyro	BASE_SET	Vipyro.png	Fire	Spirit	Dragon	Eldritch
Zaptor	BASE_SET	Zaptor.png	Thunder	Spirit	Archaic	Dragon
